"","X1","X300","X4.31000000000131","X91.3333333333333"
"1",1,300,4.31000000000131,91.3333333333333
"2",2,300,3.79999999999927,85
"3",3,300,3.88999999999942,83
"4",4,300,3.9900000000016,86.3333333333333
"5",5,300,3.81000000000131,88
"6",6,300,3.97999999999956,79
"7",7,300,3.89999999999782,79.6666666666667
"8",8,300,3.86000000000058,86
"9",9,300,4.04999999999927,88.3333333333333
"10",10,300,3.77000000000044,88
"11",11,300,3.95999999999913,81.6666666666667
"12",12,300,3.89000000000306,84.6666666666667
"13",13,300,3.84999999999854,72.3333333333333
"14",14,300,4.06999999999971,78.6666666666667
"15",15,300,3.76000000000204,90.3333333333333
"16",16,300,3.89999999999782,90.6666666666667
"17",17,300,3.95999999999913,83.6666666666667
"18",18,300,3.84000000000015,92.3333333333333
"19",19,300,4.20000000000073,76.3333333333333
"20",20,300,4.15999999999985,81
"21",21,300,4.11999999999898,80.3333333333333
"22",22,300,4.32000000000335,89.6666666666667
"23",23,300,3.97999999999956,80.3333333333333
"24",24,300,4.02999999999884,84.3333333333333
"25",25,300,3.86000000000058,80.3333333333333
"26",26,300,3.86999999999898,83.3333333333333
"27",27,300,4.01000000000204,83.3333333333333
"28",28,300,3.78999999999724,81.3333333333333
"29",29,300,3.97000000000116,78.3333333333333
"30",30,300,3.88000000000102,83
"31",1,600,4.06999999999971,84.3333333333333
"32",2,600,4.25,86.8333333333333
"33",3,600,4,85.1666666666667
"34",4,600,4.18999999999869,82.5
"35",5,600,4.06999999999971,83.3333333333333
"36",6,600,4.11999999999898,94.1666666666667
"37",7,600,4.22000000000116,88.8333333333333
"38",8,600,4.04000000000087,90.1666666666667
"39",9,600,4.20000000000073,81
"40",10,600,4.05999999999767,81.5
"41",11,600,4.11000000000058,80.5
"42",12,600,4.17000000000189,86.1666666666667
"43",13,600,4.03999999999724,71.6666666666667
"44",14,600,4.32000000000335,75.6666666666667
"45",15,600,3.95999999999913,76.3333333333333
"46",16,600,4.14999999999782,81.3333333333333
"47",17,600,4.12000000000262,85.3333333333333
"48",18,600,4.06999999999971,77.6666666666667
"49",19,600,4.25,80.1666666666667
"50",20,600,3.96999999999753,91
"51",21,600,4.25,92.1666666666667
"52",22,600,4.10000000000218,77
"53",23,600,4.09999999999854,90.5
"54",24,600,4.18000000000029,84.5
"55",25,600,4.04000000000087,89.3333333333333
"56",26,600,4.20000000000073,84.8333333333333
"57",27,600,4.03999999999724,75.3333333333333
"58",28,600,4.12000000000262,88.3333333333333
"59",29,600,4.16999999999825,83
"60",30,600,4.04000000000087,76.5
"61",1,1200,4.68000000000029,79.5
"62",2,1200,4.43000000000029,77.4166666666667
"63",3,1200,4.65999999999985,90.1666666666667
"64",4,1200,4.47999999999956,85.8333333333333
"65",5,1200,4.61999999999898,85.1666666666667
"66",6,1200,4.54000000000087,78.6666666666667
"67",7,1200,4.56999999999971,80.0833333333333
"68",8,1200,4.59999999999854,85.4166666666667
"69",9,1200,4.51000000000204,87.1666666666667
"70",10,1200,4.65000000000146,82.0833333333333
"71",11,1200,4.48999999999796,88.25
"72",12,1200,4.68999999999869,91.0833333333333
"73",13,1200,4.45000000000073,82.0833333333333
"74",14,1200,4.7400000000016,87.75
"75",15,1200,4.39999999999782,77.3333333333333
"76",16,1200,4.63000000000102,79.75
"77",17,1200,4.51000000000204,84.5833333333333
"78",18,1200,4.61999999999898,80.3333333333333
"79",19,1200,4.59000000000015,82.8333333333333
"80",20,1200,4.54000000000087,88.25
"81",21,1200,4.64999999999782,88.1666666666667
"82",22,1200,4.4900000000016,85.5
"83",23,1200,4.68000000000029,89.1666666666667
"84",24,1200,4.45999999999913,91.5
"85",25,1200,4.73999999999796,77.3333333333333
"86",26,1200,4.40000000000146,88.0833333333333
"87",27,1200,4.63000000000102,92.8333333333333
"88",28,1200,4.52999999999884,81.5833333333333
"89",29,1200,4.56999999999971,80.0833333333333
"90",30,1200,4.56999999999971,86.25
