"","replica","k","time"
"1",1,10000,0.67000000000553
"2",2,10000,0.559999999997672
"3",3,10000,0.529999999998836
"4",4,10000,0.519999999996799
"5",5,10000,0.560000000004948
"6",6,10000,0.5
"7",7,10000,0.5
"8",8,10000,0.5
"9",9,10000,0.519999999996799
"10",10,10000,0.529999999998836
"11",11,10000,0.5
"12",12,10000,0.590000000003783
"13",13,10000,0.519999999996799
"14",14,10000,0.510000000002037
"15",15,10000,0.569999999999709
"16",16,10000,0.510000000002037
"17",17,10000,0.549999999995634
"18",18,10000,0.510000000002037
"19",19,10000,0.540000000000873
"20",20,10000,0.5
"21",1,15000,0.75
"22",2,15000,0.75
"23",3,15000,0.709999999999127
"24",4,15000,0.690000000002328
"25",5,15000,0.739999999997963
"26",6,15000,0.720000000001164
"27",7,15000,0.790000000000873
"28",8,15000,0.779999999998836
"29",9,15000,0.819999999999709
"30",10,15000,0.790000000000873
"31",11,15000,0.75
"32",12,15000,0.879999999997381
"33",13,15000,0.790000000000873
"34",14,15000,0.80000000000291
"35",15,15000,0.799999999995634
"36",16,15000,0.779999999998836
"37",17,15000,0.67000000000553
"38",18,15000,0.720000000001164
"39",19,15000,0.689999999995052
"40",20,15000,0.720000000001164
"41",1,20000,0.919999999998254
"42",2,20000,0.900000000001455
"43",3,20000,0.930000000000291
"44",4,20000,0.889999999999418
"45",5,20000,0.930000000000291
"46",6,20000,1.02000000000407
"47",7,20000,0.889999999999418
"48",8,20000,0.889999999999418
"49",9,20000,0.909999999996217
"50",10,20000,0.940000000002328
"51",11,20000,0.849999999998545
"52",12,20000,0.930000000000291
"53",13,20000,0.919999999998254
"54",14,20000,0.889999999999418
"55",15,20000,0.870000000002619
"56",16,20000,0.889999999999418
"57",17,20000,0.910000000003492
"58",18,20000,1.04999999999563
"59",19,20000,0.840000000003783
"60",20,20000,0.879999999997381
